"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Namurian","Middle Carboniferous","23","6.9","-1036","-315.9","",""
"Dinantian","Lower Carboniferous","82","25.0","-977","-297.8","",""
"Basement Group","Unspecified","1205","367.3","146","44.5","",""
"Wearsdale Granite","Lower Devonian","1281","390.4","222","67.7","",""
"TD (Wearsdale Granite)","Lower Devonian","2650","807.7","1591","484.0","",""
