z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
30.5,unstated,2.0,9.5,unstated,1.0
91.4,unstated,2.0,13.2,unstated,1.0
243.8,unstated,2.0,21.2,unstated,1.0
304.8,unstated,2.0,23.6,unstated,1.0
365.8,unstated,2.0,26.6,unstated,1.0
426.7,unstated,2.0,28.3,unstated,1.0
487.7,unstated,2.0,30.6,unstated,1.0
548.6,unstated,2.0,32.5,unstated,1.0
609.6,unstated,2.0,34.25,unstated,1.0
670.6,unstated,2.0,36.4,unstated,1.0
806.2,unstated,2.0,40.8,unstated,1.0
