"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Namurian","Middle Carboniferous","20","6.1","-486","-148.1","-0.092","Stainmore Group"
"Upper Liddesdale Group","Lower Carboniferous","1045","318.5","539","164.3","0.101",""
"Lower Liddesdale Group","Lower Carboniferous","1952","594.9","1445","440.4","0.240",""
"Upper Border Group","Lower Carboniferous","3218","980.8","2709","825.7","0.433",""
"Middle Border Group","Lower Carboniferous","4334","1320.9","3823","1165.2","0.597","Fell Sandstones"
"Lower Border Group","Lower Carboniferous","5355","1632.1","4842","1475.8","0.725",""
"TD (Visean-Lower Border Group)","Lower Carboniferous","6000","1828.7","5486","1672.1","0.808",""
