"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Stanwix Shales","Triassic","153","46.6","133","40.6","",""
"TD (Stanwix Shales)","Triassic","1153","351.4","1133","345.4","",""
