"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Penarth Group (Rhaetic)","Upper Triassic","882","268.8","660","201.2","",""
"Triassic Sandstone (Bunter)","Lower Triassic","1802","549.2","1580","481.6","",""
"Upper Magnesian Limestone","Upper Permian","3814","1162.5","3592","1094.8","",""
"Carboniferous Indeterminate","Carboniferous","4915","1498.0","4693","1430.4","",""
"TD (Carboniferous)","Carboniferous","4975","1516.4","4753","1448.7","",""
