zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,k_assigned_error,min_k,max_k,k_distribution
174.7,nan,1,174.41,nan,0.7071067811865476,176.03,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
177.36,nan,1,176.03,nan,0.7071067811865476,179.08,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
180.8,nan,1,179.08,nan,0.7071067811865476,182.575,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
184.35,nan,1,182.575,nan,0.7071067811865476,186.70999999999998,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
189.07,nan,1,186.70999999999998,nan,0.7071067811865476,190.86,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
192.65,nan,1,190.86,nan,0.7071067811865476,193.925,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
195.2,nan,1,193.925,nan,0.7071067811865476,197.725,nan,0.7071067811865476,nan,nan,2.09,nan,0.2,nan,nan,in_situ_normal
200.25,nan,1,197.725,nan,0.7071067811865476,200.35,nan,0.7071067811865476,nan,nan,2.92,nan,0.2,nan,nan,in_situ_normal
200.45,nan,1,200.35,nan,0.7071067811865476,201.45999999999998,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
202.47,nan,1,201.45999999999998,nan,0.7071067811865476,204.385,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
206.3,nan,1,204.385,nan,0.7071067811865476,207.275,nan,0.7071067811865476,nan,nan,2.92,nan,0.2,nan,nan,in_situ_normal
208.25,nan,1,207.275,nan,0.7071067811865476,210.565,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
212.88,nan,1,210.565,nan,0.7071067811865476,213.815,nan,0.7071067811865476,nan,nan,2.09,nan,0.2,nan,nan,in_situ_normal
214.75,nan,1,213.815,nan,0.7071067811865476,217.505,nan,0.7071067811865476,nan,nan,2.38,nan,0.2,nan,nan,in_situ_normal
220.26,nan,1,217.505,nan,0.7071067811865476,221.745,nan,0.7071067811865476,nan,nan,2.92,nan,0.2,nan,nan,in_situ_normal
223.23,nan,1,221.745,nan,0.7071067811865476,224.615,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
226.0,nan,1,224.615,nan,0.7071067811865476,230.44,nan,0.7071067811865476,nan,nan,2.09,nan,0.2,nan,nan,in_situ_normal
234.88,nan,1,230.44,nan,0.7071067811865476,237.08499999999998,nan,0.7071067811865476,nan,nan,2.38,nan,0.2,nan,nan,in_situ_normal
239.29,nan,1,237.08499999999998,nan,0.7071067811865476,240.57999999999998,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
241.87,nan,1,240.57999999999998,nan,0.7071067811865476,241.87,nan,1.0,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
