source,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,source_lith,source_group,source_formation,source_member,source_age,source_notes,strat_log_lookup_key,bgs_group_name,bgs_formation_name,bgs_formation_code,rollin1987_unit,rollin1987_unit_number_k_samples,rollin1987_unit_mean_k,rollin1987_unit_stdev_k,rollin1987_unit_min_k,rollin1987_unit_max_k,source_lith_cermak1982,source_lith_cermak1982_number_k_samples,source_lith_cermak1982_mean_k,source_lith_cermak1982_stdev_k,source_lith_cermak1982_min_k,source_lith_cermak1982_max_k,unit_lith_cermak1982,unit_lith_cermak1982_number_k_samples,unit_lith_cermak1982_mean_k,unit_lith_cermak1982_stdev_k,unit_lith_cermak1982_min_k,unit_lith_cermak1982_max_k
UKOGL_well_formation_tops,6.9,nan,10,25.0,nan,10,[nan nan nan nan],[nan nan nan nan],Namurian,[nan nan nan nan],Middle Carboniferous,nan,nan,nan,nan,nan,namurian,7.0,3.75,0.4233202097703345,unstated,unstated,[nan nan nan nan],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UKOGL_well_formation_tops,25.0,nan,10,367.3,nan,10,[nan nan nan nan],[nan nan nan nan],Dinantian,[nan nan nan nan],Lower Carboniferous,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,[nan nan nan nan],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UKOGL_well_formation_tops,367.3,nan,10,390.4,nan,10,[nan nan nan nan],[nan nan nan nan],Basement Group,[nan nan nan nan],Unspecified,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,[nan nan nan nan],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UKOGL_well_formation_tops,390.4,nan,10,807.7,nan,10,[nan nan nan nan],[nan nan nan nan],Wearsdale Granite,[nan nan nan nan],Lower Devonian,nan,nan,nan,nan,nan,granite,nan,nan,nan,nan,nan,[nan nan nan nan],nan,nan,nan,nan,nan,granite,356.0,3.05,nan,1.3,4.45
