zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,unit_lith_cermak1982,unit_lith_cermak1982_number_k_samples,unit_lith_cermak1982_mean_k,unit_lith_cermak1982_stdev_k,unit_lith_cermak1982_min_k,unit_lith_cermak1982_max_k
nan,nan,nan,6.9,nan,10,390.4,nan,10,nan,nan,nan,nan,nan,nan
nan,nan,nan,390.4,nan,10,807.7,nan,10,granite,356.0,3.05,nan,1.3,4.45
