"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"St Bees Sandstone","Lower Triassic","117","35.8","-4","-1.2","",""
"St Bees Shale","Upper Permian","326","99.5","205","62.5","",""
"St Bees Evaporites","Upper Permian","410","125.0","289","88.0","",""
"Grey Beds","Middle-Upper Permian","472","143.8","350","106.8","",""
"Lower Brockram","Lower Permian","516","157.3","395","120.3","",""
"Namurian","Upper Carboniferous","519","158.1","397","121.1","",""
"Dinantian","Lower Carboniferous","1996","608.3","1874","571.3","",""
"TD (Dinantian)","Lower Carboniferous","2628","800.9","2506","763.9","",""
