"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Penarth Group (Rhaetic)","Upper Triassic","170","51.8","137","41.8","",""
"Mercia Mudstone (Keuper)","Lower Triassic","220","67.1","187","57.0","",""
"Triassic Sandstone (Bunter)","Lower Triassic","880","268.2","847","258.2","",""
"Permo-Triassic","Permo-Triassic","1648","502.3","1615","492.2","","Saliferous Marl"
"?Namurian","Middle Carboniferous","2897","883.0","2864","872.9","","?Yoredales"
"TD (Namurian?)","Middle Carboniferous","3091","942.1","3058","932.1","",""
