"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Carboniferous Coal Measures","Upper Carboniferous","22","6.7","-756","-230.5","",""
"TD (Coal Measures)","Upper Carboniferous","1501","457.5","723","220.4","",""
