"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Permian","Permian","1341","408.7","1304","397.5","",""
"Namurian","Middle Carboniferous","2386","727.3","2349","716.0","",""
"Dinantian","Lower Carboniferous","3646","1111.3","3609","1100.0","",""
"TD (Dinantian)","Lower Carboniferous","13680","4169.7","","","",""
