"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lower Lias","Lower Jurassic","47","14.3","-3","-0.8","",""
"Rhaetic","Upper Triassic","306","93.3","256","78.2","",""
"Keuper Marl","Lower Triassic","357","108.8","307","93.7","",""
"Bunter Sandstone","Lower Triassic","1020","310.9","970","295.8","",""
"Saliferous Marl","Lower Triassic","1850","563.9","1800","548.8","",""
"TD (Saliferous Marl)","Lower Triassic","2217","675.7","2167","660.6","",""
