zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,min_k,max_k,k_assigned_error,k_distribution
nan,nan,nan,0.0,nan,0,46.55,nan,2,nan,nan,nan,nan,nan,nan,nan,uniform
nan,nan,nan,46.55,nan,2,351.4,nan,2,keuper_marl,41.0,2.28,2.11303099835284,nan,nan,2.11303099835284,uniform
