"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Namurian Durham Millstone Grit","Middle Carboniferous","363","110.6","28","8.5","",""
"Carboniferous Limestone","Lower Carboniferous","1938","590.7","1603","488.6","",""
"TD (Carboniferous Limestone)","Lower Carboniferous","1985","604.9","1650","502.8","",""
