### Original data: ./example_data/climate_data/recent_climate_data/raw_data/ZonAnn.Ts+dSST.csv
### Smoothed with boxcar filter of length 9
recent_climtemp_year_smoothing_cutoff,recent_climtemp_deltaTs_smoothed
1884.0,-0.47
1885.0,-0.4433333333333333
1886.0,-0.45777777777777773
1887.0,-0.46888888888888886
1888.0,-0.4811111111111111
1889.0,-0.47111111111111115
1890.0,-0.43333333333333335
1891.0,-0.4388888888888889
1892.0,-0.4255555555555555
1893.0,-0.4322222222222222
1894.0,-0.4311111111111111
1895.0,-0.3811111111111111
1896.0,-0.35777777777777775
1897.0,-0.29666666666666663
1898.0,-0.2922222222222222
1899.0,-0.3011111111111111
1900.0,-0.30777777777777776
1901.0,-0.2911111111111111
1902.0,-0.24555555555555555
1903.0,-0.30333333333333334
1904.0,-0.35333333333333333
1905.0,-0.4066666666666666
1906.0,-0.42111111111111105
1907.0,-0.4111111111111111
1908.0,-0.4522222222222222
1909.0,-0.42333333333333334
1910.0,-0.41666666666666663
1911.0,-0.4288888888888889
1912.0,-0.4088888888888889
1913.0,-0.4033333333333333
1914.0,-0.36444444444444446
1915.0,-0.4
1916.0,-0.3766666666666667
1917.0,-0.27111111111111114
1918.0,-0.27888888888888896
1919.0,-0.2777777777777778
1920.0,-0.2866666666666667
1921.0,-0.20666666666666667
1922.0,-0.13444444444444442
1923.0,-0.1288888888888889
1924.0,-0.08666666666666668
1925.0,-0.13222222222222224
1926.0,-0.14666666666666667
1927.0,-0.10666666666666667
1928.0,-0.06888888888888887
1929.0,-0.09333333333333332
1930.0,-0.07888888888888887
1931.0,-0.10222222222222219
1932.0,-0.06777777777777777
1933.0,-0.046666666666666655
1934.0,0.06333333333333334
1935.0,0.09
1936.0,0.09111111111111111
1937.0,0.05888888888888889
1938.0,0.10333333333333333
1939.0,0.0988888888888889
1940.0,0.15555555555555556
1941.0,0.14111111111111113
1942.0,0.13222222222222224
1943.0,0.07444444444444445
1944.0,0.07777777777777778
1945.0,0.09888888888888887
1946.0,0.07555555555555554
1947.0,0.08333333333333333
1948.0,0.04222222222222222
1949.0,0.028888888888888884
1950.0,0.007777777777777776
1951.0,0.0011111111111111148
1952.0,-0.03666666666666667
1953.0,-0.04777777777777777
1954.0,-0.05111111111111112
1955.0,0.0022222222222222227
1956.0,-0.006666666666666667
1957.0,0.04555555555555556
1958.0,0.04111111111111112
1959.0,0.09888888888888889
1960.0,0.08888888888888888
1961.0,0.11444444444444443
1962.0,0.06888888888888889
1963.0,0.0822222222222222
1964.0,0.05999999999999999
1965.0,-1.3877787807814457e-17
1966.0,-0.05666666666666666
1967.0,-0.09
1968.0,-0.17666666666666667
1969.0,-0.12444444444444444
1970.0,-0.10555555555555554
1971.0,-0.0411111111111111
1972.0,-0.10555555555555554
1973.0,-0.07666666666666666
1974.0,-0.0055555555555555506
1975.0,0.015555555555555557
1976.0,0.016666666666666666
1977.0,0.15555555555555556
1978.0,0.13555555555555557
1979.0,0.22
1980.0,0.18555555555555553
1981.0,0.19111111111111112
1982.0,0.19555555555555554
1983.0,0.2066666666666667
1984.0,0.2633333333333333
1985.0,0.3377777777777778
1986.0,0.3488888888888888
1987.0,0.41222222222222227
1988.0,0.3844444444444445
1989.0,0.40777777777777774
1990.0,0.4933333333333333
1991.0,0.5722222222222222
1992.0,0.5766666666666665
1993.0,0.6133333333333332
1994.0,0.6411111111111111
1995.0,0.6322222222222221
1996.0,0.6477777777777778
1997.0,0.6944444444444444
1998.0,0.7733333333333332
1999.0,0.8266666666666665
2000.0,0.8233333333333334
2001.0,0.9411111111111112
2002.0,0.9588888888888889
2003.0,1.001111111111111
2004.0,1.0322222222222224
2005.0,1.01
2006.0,1.01
2007.0,1.0033333333333332
2008.0,0.9977777777777777
2009.0,1.0077777777777777
2010.0,0.9977777777777779
2011.0,1.0444444444444445
2012.0,1.0577777777777777
2013.0,1.091111111111111
2014.0,1.1466666666666665
2015.0,1.21
