"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Quaternary","Quaternary","13","4.0","-21","-6.4","","Holocene"
"Boulder Clay","Quaternary","40","12.2","6","1.8","","Pleistocene"
"Keuper","Upper Triassic","181","55.2","147","44.8","","Stanwix Shales"
"Kirklinton Sandstone","Triassic","1249","380.7","1215","370.3","",""
"St Bees Sandstone","Lower Triassic","1557","474.6","1523","464.2","",""
"St Bees Shale","Upper Permian","2856","870.5","2822","860.1","",""
"Zechstein (Upper Permian)","Upper Permian","3062","933.3","3028","922.9","","Penrith Sandstone & Brockrams"
"?Lower Carboniferous","Lower Carboniferous","4304","1311.8","4270","1301.4","",""
"TD (Lower Carboniferous?)","Lower Carboniferous","4399","1340.7","4365","1330.4","",""
