"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lower Coal Measures","Upper Carboniferous","10","3.0","-922","-281.0","",""
"Millstone Grit & Limestone Shales","Middle Carboniferous","333","101.4","-599","-182.7","",""
"Carboniferous Limestone Series","Carboniferous","1320","402.3","388","118.3","",""
"TD (Carboniferous Limestone Series)","Lower Carboniferous","1600","487.7","668","203.6","",""
