zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,k_assigned_error,min_k,max_k,k_distribution
968.6544,nan,5.0,0.0,0.0,0.0,980.8464,nan,3.5355339059327378,nan,nan,3.265704,0.06531408,0.2,nan,nan,in_situ_normal
993.0384,nan,5.0,980.8464,nan,3.5355339059327378,993.0384,nan,5.0,nan,nan,5.44284,0.1088568,0.2,nan,nan,in_situ_normal
