"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Rotliegendes-Leman Sandstone","Lower Permian","79","24.1","13","4.0","",""
"Westphalian A","Upper Carboniferous","197","60.0","131","39.9","",""
"Namurian","Middle Carboniferous","1384","421.8","1318","401.7","",""
"Dinantian","Lower Carboniferous","2831","862.8","2765","842.7","",""
"TD (Visean - Asbian)","Lower Carboniferous","5804","1769.1","5738","1748.9","",""
