,Depth(m),Depth_error(m),Temperature(degrees_C),Temperature_error(degrees_C)
175,541.42,0.03,17.71,0.01
176,544.48,0.03,17.75,0.01
177,547.54,0.03,17.8,0.01
178,550.6,0.03,17.91,0.01
179,553.66,0.03,17.97,0.01
180,556.72,0.03,18.04,0.01
181,559.78,0.03,18.09,0.01
182,562.84,0.03,18.17,0.01
183,565.9,0.03,18.23,0.01
184,568.95,0.03,18.28,0.01
185,572.01,0.03,18.32,0.01
186,575.07,0.03,18.36,0.01
187,578.13,0.03,18.4,0.01
188,581.19,0.03,18.46,0.01
189,584.25,0.03,18.54,0.01
