### Input data: /Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/climate_histories/goddard_climate_history_1880to2019/raw_data/ZonAnn.Ts+dSST.csv
### Cut off at year 1983
recent_climtemp_year_cut,recent_climtemp_sigma_year_cut,recent_climtemp_t0_seconds_cut,recent_climtemp_sigma_t0_seconds_cut,recent_climtemp_t1_seconds_cut,recent_climtemp_sigma_t1_seconds_cut,recent_climtemp_deltaTs_cut,recent_climtemp_sigma_deltaTs_cut
1880.0,0.5,3250340100.0,15778350.000000002,3218783400.0000005,15778350.000000002,-0.44,0.1
1881.0,0.5,3218783400.0000005,15778350.000000002,3187226700.0,15778350.000000002,-0.4,0.1
1882.0,0.5,3187226700.0,15778350.000000002,3155670000.0,15778350.000000002,-0.23,0.1
1883.0,0.5,3155670000.0,15778350.000000002,3124113300.0,15778350.000000002,-0.53,0.1
1884.0,0.5,3124113300.0,15778350.000000002,3092556600.0000005,15778350.000000002,-0.62,0.1
1885.0,0.5,3092556600.0000005,15778350.000000002,3060999900.0,15778350.000000002,-0.66,0.1
1886.0,0.5,3060999900.0,15778350.000000002,3029443200.0,15778350.000000002,-0.47,0.1
1887.0,0.5,3029443200.0,15778350.000000002,2997886500.0,15778350.000000002,-0.48,0.1
1888.0,0.5,2997886500.0,15778350.000000002,2966329800.0000005,15778350.000000002,-0.4,0.1
1889.0,0.5,2966329800.0000005,15778350.000000002,2934773100.0000005,15778350.000000002,-0.2,0.1
1890.0,0.5,2934773100.0000005,15778350.000000002,2903216400.0,15778350.000000002,-0.53,0.1
1891.0,0.5,2903216400.0,15778350.000000002,2871659700.0,15778350.000000002,-0.33,0.1
1892.0,0.5,2871659700.0,15778350.000000002,2840103000.0000005,15778350.000000002,-0.64,0.1
1893.0,0.5,2840103000.0000005,15778350.000000002,2808546300.0000005,15778350.000000002,-0.53,0.1
1894.0,0.5,2808546300.0000005,15778350.000000002,2776989600.0,15778350.000000002,-0.32,0.1
1895.0,0.5,2776989600.0,15778350.000000002,2745432900.0,15778350.000000002,-0.52,0.1
1896.0,0.5,2745432900.0,15778350.000000002,2713876200.0000005,15778350.000000002,-0.36,0.1
1897.0,0.5,2713876200.0000005,15778350.000000002,2682319500.0000005,15778350.000000002,-0.46,0.1
1898.0,0.5,2682319500.0000005,15778350.000000002,2650762800.0,15778350.000000002,-0.19,0.1
1899.0,0.5,2650762800.0,15778350.000000002,2619206100.0,15778350.000000002,-0.08,0.1
1900.0,0.5,2619206100.0,15778350.000000002,2587649400.0000005,15778350.000000002,-0.12,0.1
1901.0,0.5,2587649400.0000005,15778350.000000002,2556092700.0,15778350.000000002,-0.09,0.1
1902.0,0.5,2556092700.0,15778350.000000002,2524536000.0,15778350.000000002,-0.49,0.1
1903.0,0.5,2524536000.0,15778350.000000002,2492979300.0,15778350.000000002,-0.4,0.1
1904.0,0.5,2492979300.0,15778350.000000002,2461422600.0,15778350.000000002,-0.58,0.1
1905.0,0.5,2461422600.0,15778350.000000002,2429865900.0,15778350.000000002,-0.21,0.1
1906.0,0.5,2429865900.0,15778350.000000002,2398309200.0,15778350.000000002,-0.05,0.1
1907.0,0.5,2398309200.0,15778350.000000002,2366752500.0,15778350.000000002,-0.71,0.1
1908.0,0.5,2366752500.0,15778350.000000002,2335195800.0,15778350.000000002,-0.53,0.1
1909.0,0.5,2335195800.0,15778350.000000002,2303639100.0,15778350.000000002,-0.6,0.1
1910.0,0.5,2303639100.0,15778350.000000002,2272082400.0,15778350.000000002,-0.22,0.1
1911.0,0.5,2272082400.0,15778350.000000002,2240525700.0,15778350.000000002,-0.4,0.1
1912.0,0.5,2240525700.0,15778350.000000002,2208969000.0,15778350.000000002,-0.77,0.1
1913.0,0.5,2208969000.0,15778350.000000002,2177412300.0,15778350.000000002,-0.32,0.1
1914.0,0.5,2177412300.0,15778350.000000002,2145855600.0000002,15778350.000000002,-0.15,0.1
1915.0,0.5,2145855600.0000002,15778350.000000002,2114298900.0,15778350.000000002,-0.16,0.1
1916.0,0.5,2114298900.0,15778350.000000002,2082742200.0000002,15778350.000000002,-0.53,0.1
1917.0,0.5,2082742200.0000002,15778350.000000002,2051185500.0,15778350.000000002,-0.48,0.1
1918.0,0.5,2051185500.0,15778350.000000002,2019628800.0000002,15778350.000000002,-0.25,0.1
1919.0,0.5,2019628800.0000002,15778350.000000002,1988072100.0000002,15778350.000000002,-0.54,0.1
1920.0,0.5,1988072100.0000002,15778350.000000002,1956515400.0,15778350.000000002,-0.19,0.1
1921.0,0.5,1956515400.0,15778350.000000002,1924958700.0000002,15778350.000000002,0.18,0.1
1922.0,0.5,1924958700.0000002,15778350.000000002,1893402000.0,15778350.000000002,-0.39,0.1
1923.0,0.5,1893402000.0,15778350.000000002,1861845300.0000002,15778350.000000002,-0.14,0.1
1924.0,0.5,1861845300.0000002,15778350.000000002,1830288600.0,15778350.000000002,-0.24,0.1
1925.0,0.5,1830288600.0,15778350.000000002,1798731900.0000002,15778350.000000002,0.19,0.1
1926.0,0.5,1798731900.0000002,15778350.000000002,1767175200.0,15778350.000000002,0.17,0.1
1927.0,0.5,1767175200.0,15778350.000000002,1735618500.0000002,15778350.000000002,-0.2,0.1
1928.0,0.5,1735618500.0000002,15778350.000000002,1704061800.0,15778350.000000002,-0.16,0.1
1929.0,0.5,1704061800.0,15778350.000000002,1672505100.0000002,15778350.000000002,-0.6,0.1
1930.0,0.5,1672505100.0000002,15778350.000000002,1640948400.0,15778350.000000002,0.05,0.1
1931.0,0.5,1640948400.0,15778350.000000002,1609391700.0000002,15778350.000000002,-0.03,0.1
1932.0,0.5,1609391700.0000002,15778350.000000002,1577835000.0,15778350.000000002,0.2,0.1
1933.0,0.5,1577835000.0,15778350.000000002,1546278300.0000002,15778350.000000002,-0.46,0.1
1934.0,0.5,1546278300.0000002,15778350.000000002,1514721600.0,15778350.000000002,0.32,0.1
1935.0,0.5,1514721600.0,15778350.000000002,1483164900.0000002,15778350.000000002,-0.04,0.1
1936.0,0.5,1483164900.0000002,15778350.000000002,1451608200.0,15778350.000000002,0.11,0.1
1937.0,0.5,1451608200.0,15778350.000000002,1420051500.0000002,15778350.000000002,0.03,0.1
1938.0,0.5,1420051500.0000002,15778350.000000002,1388494800.0,15778350.000000002,0.39,0.1
1939.0,0.5,1388494800.0,15778350.000000002,1356938100.0000002,15778350.000000002,0.29,0.1
1940.0,0.5,1356938100.0000002,15778350.000000002,1325381400.0,15778350.000000002,-0.02,0.1
1941.0,0.5,1325381400.0,15778350.000000002,1293824700.0000002,15778350.000000002,-0.09,0.1
1942.0,0.5,1293824700.0000002,15778350.000000002,1262268000.0,15778350.000000002,-0.06,0.1
1943.0,0.5,1262268000.0,15778350.000000002,1230711300.0,15778350.000000002,0.28,0.1
1944.0,0.5,1230711300.0,15778350.000000002,1199154600.0,15778350.000000002,0.47,0.1
1945.0,0.5,1199154600.0,15778350.000000002,1167597900.0,15778350.000000002,-0.02,0.1
1946.0,0.5,1167597900.0,15778350.000000002,1136041200.0,15778350.000000002,-0.05,0.1
1947.0,0.5,1136041200.0,15778350.000000002,1104484500.0,15778350.000000002,-0.13,0.1
1948.0,0.5,1104484500.0,15778350.000000002,1072927800.0000001,15778350.000000002,0.32,0.1
1949.0,0.5,1072927800.0000001,15778350.000000002,1041371100.0000001,15778350.000000002,0.17,0.1
1950.0,0.5,1041371100.0000001,15778350.000000002,1009814400.0000001,15778350.000000002,-0.3,0.1
1951.0,0.5,1009814400.0000001,15778350.000000002,978257700.0,15778350.000000002,0.01,0.1
1952.0,0.5,978257700.0,15778350.000000002,946701000.0,15778350.000000002,-0.09,0.1
1953.0,0.5,946701000.0,15778350.000000002,915144300.0,15778350.000000002,0.35,0.1
1954.0,0.5,915144300.0,15778350.000000002,883587600.0,15778350.000000002,-0.21,0.1
1955.0,0.5,883587600.0,15778350.000000002,852030900.0,15778350.000000002,-0.11,0.1
1956.0,0.5,852030900.0,15778350.000000002,820474200.0,15778350.000000002,-0.47,0.1
1957.0,0.5,820474200.0,15778350.000000002,788917500.0,15778350.000000002,0.22,0.1
1958.0,0.5,788917500.0,15778350.000000002,757360800.0,15778350.000000002,0.14,0.1
1959.0,0.5,757360800.0,15778350.000000002,725804100.0,15778350.000000002,0.18,0.1
1960.0,0.5,725804100.0,15778350.000000002,694247400.0,15778350.000000002,-0.07,0.1
1961.0,0.5,694247400.0,15778350.000000002,662690700.0,15778350.000000002,0.38,0.1
1962.0,0.5,662690700.0,15778350.000000002,631134000.0,15778350.000000002,0.31,0.1
1963.0,0.5,631134000.0,15778350.000000002,599577300.0,15778350.000000002,0.31,0.1
1964.0,0.5,599577300.0,15778350.000000002,568020600.0,15778350.000000002,-0.2,0.1
1965.0,0.5,568020600.0,15778350.000000002,536463900.00000006,15778350.000000002,-0.24,0.1
1966.0,0.5,536463900.00000006,15778350.000000002,504907200.00000006,15778350.000000002,-0.19,0.1
1967.0,0.5,504907200.00000006,15778350.000000002,473350500.0,15778350.000000002,0.26,0.1
1968.0,0.5,473350500.0,15778350.000000002,441793800.0,15778350.000000002,-0.02,0.1
1969.0,0.5,441793800.0,15778350.000000002,410237100.0,15778350.000000002,-0.61,0.1
1970.0,0.5,410237100.0,15778350.000000002,378680400.0,15778350.000000002,-0.13,0.1
1971.0,0.5,378680400.0,15778350.000000002,347123700.0,15778350.000000002,0.01,0.1
1972.0,0.5,347123700.0,15778350.000000002,315567000.0,15778350.000000002,-0.47,0.1
1973.0,0.5,315567000.0,15778350.000000002,284010300.0,15778350.000000002,0.27,0.1
1974.0,0.5,284010300.0,15778350.000000002,252453600.00000003,15778350.000000002,-0.07,0.1
1975.0,0.5,252453600.00000003,15778350.000000002,220896900.0,15778350.000000002,0.39,0.1
1976.0,0.5,220896900.0,15778350.000000002,189340200.0,15778350.000000002,-0.32,0.1
1977.0,0.5,189340200.0,15778350.000000002,157783500.0,15778350.000000002,0.24,0.1
1978.0,0.5,157783500.0,15778350.000000002,126226800.00000001,15778350.000000002,0.03,0.1
1979.0,0.5,126226800.00000001,15778350.000000002,94670100.0,15778350.000000002,0.06,0.1
1980.0,0.5,94670100.0,15778350.000000002,63113400.00000001,15778350.000000002,0.02,0.1
1981.0,0.5,63113400.00000001,15778350.000000002,31556700.000000004,15778350.000000002,0.78,0.1
1982.0,0.5,31556700.000000004,15778350.000000002,1000000.0,15778350.000000002,0.09,0.1
