### Input data: /Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/climate_histories/goddard_climate_history_1880to2019/calculated_data/ZonAnn.Ts+dSST_smoothedboxcar9.csv
### Cut off at year 1983
recent_climtemp_year_smoothing_cutoff_cut,recent_climtemp_sigma_year_smoothing_cutoff_cut,recent_climtemp_t0_seconds_smoothing_cutoff_cut,recent_climtemp_sigma_t0_seconds_smoothing_cutoff_cut,recent_climtemp_t1_seconds_smoothing_cutoff_cut,recent_climtemp_sigma_t1_seconds_smoothing_cutoff_cut,recent_climtemp_deltaTs_smoothed_cut,recent_climtemp_sigma_deltaTs_smoothed_cut
1884.0,0.5,3124113300.0,15778350.000000002,3092556600.0000005,15778350.000000002,-0.47,0.1
1885.0,0.5,3092556600.0000005,15778350.000000002,3060999900.0,15778350.000000002,-0.4433333333333333,0.1
1886.0,0.5,3060999900.0,15778350.000000002,3029443200.0,15778350.000000002,-0.45777777777777773,0.1
1887.0,0.5,3029443200.0,15778350.000000002,2997886500.0,15778350.000000002,-0.46888888888888886,0.1
1888.0,0.5,2997886500.0,15778350.000000002,2966329800.0000005,15778350.000000002,-0.4811111111111111,0.1
1889.0,0.5,2966329800.0000005,15778350.000000002,2934773100.0000005,15778350.000000002,-0.47111111111111115,0.1
1890.0,0.5,2934773100.0000005,15778350.000000002,2903216400.0,15778350.000000002,-0.43333333333333335,0.1
1891.0,0.5,2903216400.0,15778350.000000002,2871659700.0,15778350.000000002,-0.4388888888888889,0.1
1892.0,0.5,2871659700.0,15778350.000000002,2840103000.0000005,15778350.000000002,-0.4255555555555555,0.1
1893.0,0.5,2840103000.0000005,15778350.000000002,2808546300.0000005,15778350.000000002,-0.4322222222222222,0.1
1894.0,0.5,2808546300.0000005,15778350.000000002,2776989600.0,15778350.000000002,-0.4311111111111111,0.1
1895.0,0.5,2776989600.0,15778350.000000002,2745432900.0,15778350.000000002,-0.3811111111111111,0.1
1896.0,0.5,2745432900.0,15778350.000000002,2713876200.0000005,15778350.000000002,-0.35777777777777775,0.1
1897.0,0.5,2713876200.0000005,15778350.000000002,2682319500.0000005,15778350.000000002,-0.29666666666666663,0.1
1898.0,0.5,2682319500.0000005,15778350.000000002,2650762800.0,15778350.000000002,-0.2922222222222222,0.1
1899.0,0.5,2650762800.0,15778350.000000002,2619206100.0,15778350.000000002,-0.3011111111111111,0.1
1900.0,0.5,2619206100.0,15778350.000000002,2587649400.0000005,15778350.000000002,-0.30777777777777776,0.1
1901.0,0.5,2587649400.0000005,15778350.000000002,2556092700.0,15778350.000000002,-0.2911111111111111,0.1
1902.0,0.5,2556092700.0,15778350.000000002,2524536000.0,15778350.000000002,-0.24555555555555555,0.1
1903.0,0.5,2524536000.0,15778350.000000002,2492979300.0,15778350.000000002,-0.30333333333333334,0.1
1904.0,0.5,2492979300.0,15778350.000000002,2461422600.0,15778350.000000002,-0.35333333333333333,0.1
