zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,rollin1987_unit,rollin1987_unit_number_k_samples,rollin1987_unit_mean_k,rollin1987_unit_stdev_k,rollin1987_unit_min_k,rollin1987_unit_max_k
nan,nan,nan,0.0,nan,0,46.55,nan,2,nan,nan,nan,nan,nan,nan
nan,nan,nan,46.55,nan,2,351.4,nan,2,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated
