"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Coal Measures","Upper Carboniferous","17","5.2","-17","-5.2","",""
"Millstone Grit","Middle Carboniferous","600","182.9","566","172.5","",""
"Upper Limestone Group","Middle Carboniferous","940","286.5","906","276.1","",""
"Middle Limestone Group","Middle Carboniferous","2550","777.2","2516","766.8","",""
"Lower Limestone Group","Middle Carboniferous","5250","1600.1","5216","1589.8","",""
"Scremerston Coal","Lower Carboniferous","6490","1978.1","6456","1967.7","",""
"TD (Craighill Sandstone)","Lower Carboniferous","8290","2526.7","8256","2516.3","",""
