"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Dinantian","Lower Carboniferous","17","5.2","-862","-262.7","",""
"Wensleydale Granite","Devonian","1624","495.0","745","227.1","",""
"TD (Wensleydale Granite)","Devonian","1970","600.6","1092","332.7","",""
