> bullard_sense_option, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc> downward T_versus_R 0.053380 0.000574 0.053400 0.000600 53.379815 0.573525 53.400000 0.600000 8.379130 0.083012 8.380000 0.080000 nan nan nan nan
> downward R_versus_T 0.053063 0.000910 0.053100 0.000900 53.063389 0.909768 53.100000 0.900000 nan nan nan nan 18.845385 0.323103 -158.729920 4.858446
> upward T_versus_R 0.053380 0.000574 0.053400 0.000600 53.379815 0.573525 53.400000 0.600000 19.740177 0.052499 19.740000 0.050000 nan nan nan nan
> upward R_versus_T 0.053699 0.000472 0.053700 0.000500 53.699077 0.471727 53.700000 0.500000 nan nan nan nan -18.622294 0.163590 368.035233 3.129731
T,T_error,R1_downward,sigma_R1_downward,T_rev,T_error_rev,R1_upward,sigma_R1_upward
10.618702986760207,0.25,36.47727272727273,36.47727272727273,19.771031998362602,0.24999999999999997,0.0,0.39370078740157477
10.726205484990146,0.2500000000000001,39.71131528046422,39.71131528046422,19.681394141711326,0.25,1.2165354330708786,0.5649569725246752
10.914943906075386,0.25,44.25462236707839,44.25462236707839,19.591730537501753,0.25000000000000006,2.9251068616423126,1.0051697095859666
10.962507086123694,0.24999999999999997,46.51778026181523,46.51778026181523,19.49563043114345,0.2499999999999999,4.515270796068524,1.2797576256410443
11.120419455725417,0.25000000000000006,48.85696154836494,48.85696154836494,19.402541024946416,0.2500000000000001,6.5652707960685275,1.6564881677132979
11.188028937407143,0.25,50.54117207468073,50.54117207468073,19.232002328051934,0.25,9.89669936749709,1.882013066210218
11.331506455677781,0.25,53.54117207468072,53.54117207468072,19.114292347427327,0.25,12.7575689327145,2.3025657619717412
11.504348343486894,0.25,57.8720544276219,57.8720544276219,19.027315737407726,0.24999999999999997,14.267669942815514,2.4156216961090364
11.652296171177426,0.25000000000000006,61.273414971839586,61.273414971839586,18.93752857559929,0.25,16.050022883991968,2.5634428026265565
11.787307804089547,0.2499999999999999,64.80862623944522,64.80862623944522,18.8365639812075,0.25,17.388187135199715,2.6560705139723546
11.97902055795264,0.25000000000000006,69.02693609860016,69.02693609860016,18.767038545478183,0.25000000000000006,19.95228969930228,2.9509069274733233
12.11075816655424,0.25,71.86635215699432,71.86635215699432,18.664324586339866,0.24999999999999994,21.55728969930227,3.038685891073648
12.309459345212597,0.25,75.24455728519945,75.24455728519945,18.57362822993964,0.2500000000000001,22.776413205278367,3.09200641303019
12.498573936876724,0.24999999999999994,79.61255728519944,79.61255728519944,18.506569470664566,0.25,24.15511143013043,3.207394626690618
12.63177265266011,0.25000000000000006,81.82089061853279,81.82089061853279,18.36860785060261,0.25,26.07475428727329,3.2734315409480645
12.849133411122617,0.25000000000000006,86.4208906185328,86.4208906185328,18.26916176535615,0.25,28.045684519831422,3.3828859989679874
13.033657246951769,0.25,89.20660490424707,89.20660490424707,18.181794812368295,0.25,30.00697484241208,3.5128945537507055
13.159314823266259,0.2500000000000001,90.937787699946,90.937787699946,18.106109122977283,0.24999999999999994,31.634093486479877,3.6073005205113393
13.274114659219157,0.2500000000000001,92.65968119107026,92.65968119107026,17.926728134198648,0.25000000000000006,35.563125744544415,3.755276785811968
13.406532170231479,0.25000000000000006,94.87786300925208,94.87786300925208,17.836283175844578,0.25,37.426479781811494,3.86358103975243
13.509664457109539,0.24999999999999994,96.59642588350358,96.59642588350358,17.725028542392007,0.24999999999999997,39.16511614544786,3.9511965816747425
13.926903968380701,0.25,105.41388620096389,105.41388620096389,17.630720968671174,0.25000000000000006,41.09893967485962,4.0956250556723575
14.183155638683933,0.25,109.7360338519706,109.7360338519706,17.51281518653574,0.25000000000000006,42.191654906647685,4.1229443306133
14.326472691113388,0.25000000000000006,111.88944294287971,111.88944294287971,17.424784896458526,0.25,43.59061863721766,4.190061278445796
14.498758457629366,0.24999999999999994,115.36595300999379,115.36595300999379,17.32272127922718,0.25,45.37919006578908,4.272172449565925
14.696605961822309,0.25000000000000006,119.04949731379126,119.04949731379126,17.211883950752913,0.25000000000000006,46.746446702957215,4.319452610213058
14.828688971884374,0.25000000000000006,121.24489961264183,121.24489961264183,17.043057916307387,0.24999999999999997,50.38533559184611,4.4584310505623685
14.959642858452158,0.24999999999999997,122.83700487579972,122.83700487579972,16.934429851433684,0.25000000000000006,52.69671283735508,4.54657681526341
15.064568508117631,0.25000000000000006,124.89334290396873,124.89334290396873,16.852244598088674,0.25,54.04790331354556,4.626645887983016
15.194473936554095,0.25000000000000006,128.05856029527308,128.05856029527308,16.759913426525426,0.24999999999999997,55.43361759925985,4.677262418240624
15.290260615781802,0.2500000000000001,129.84299143299762,129.84299143299762,16.650053751511866,0.25,57.55652262719281,4.749446910833363
15.37959764294343,0.24999999999999997,132.19958058028445,132.19958058028445,16.55366297824168,0.25,59.56318929385947,4.849507276313966
15.467363435269707,0.25000000000000006,133.87735835806222,133.87735835806222,16.45044766123387,0.25000000000000006,60.79163756972154,4.888815524724002
15.533397500278179,0.25,135.1599670537144,135.1599670537144,16.353955082250444,0.24999999999999992,63.368873342079276,5.039652293886743
15.669387557386978,0.24999999999999994,138.5163500324378,138.5163500324378,16.274098023559755,0.25,64.25776223096817,5.061132640383274
15.73255970741876,0.25,139.03793276625075,139.03793276625075,16.18163635253968,0.25,65.979687364658,5.120636171352812
15.750689787753046,0.25,139.58021217801544,139.58021217801544,16.066786022001043,0.25,67.45457320940686,5.162950941622931
